row_id,phenomenon,parameter,physical_meaning,candidate_symbol,evidence_source_ids,vehicle_type,powertrain_or_control_architecture,test_scenario,measurement_method,reported_range,units,confidence,directly_measured_or_inferred,relevant_to_human_fallback,layer_assignment,status,notes
V11,"maximum achievable deceleration, dry",a_max (dry),mean deceleration over an emergency stop with ABS on dry asphalt,a_max,S04;S01;S02,"ABS passenger cars (2007-era, 2 models, S04); approval floor (S01)",hydraulic + ABS,emergency stops 80-130 km/h; type approval,instrumented trials; regulation; regulatory reference model,professionals mean 8.4 (8.1-8.7); non-professionals 7.4 (6.6-8.7); 100-70 km/h interval about 9.1; approval floor 6.43 (R13-H Annex 3 §2.1.1); R157 benchmark 0.774 g ≈ 7.59 at road friction 1.0 (Annex 3 Table 1),m/s2,MEDIUM-HIGH,MEASURED,YES (second-largest model elasticity),"VEHICLE (capability) / HUMAN (achieved fraction, V14)",BOUNDED,"Capability vs achieved deceleration must be separated: non-professional drivers achieved ~10% less on average, with large spread."
V12,"maximum achievable deceleration, wet",a_max (wet),mean deceleration over an emergency stop with ABS on wet asphalt,a_max,S04,ABS passenger cars,hydraulic + ABS,emergency stops on wetted sections (measured section friction 0.49-0.75),instrumented trials,professionals 7.9; non-professionals 7.0,m/s2,MEDIUM,MEASURED,YES,VEHICLE x ENVIRONMENT,CONTEXT-DEPENDENT,"Values are for clean wetted test sections; low-mu surfaces (snow, ice) not covered."
V13,friction-limited braking,a <= mu g,tyre-road friction caps achievable deceleration,mu,S27;S04,any,any,any,first principles,a_max <= mu * 9.81,m/s2,HIGH (law) / mu itself context-dependent,PHYSICAL LAW,YES,VEHICLE x ENVIRONMENT,FIXED,"The simulator carries road_friction but does not use it to cap a_max (code audit, R3A)."
V14,human-achieved emergency deceleration,u_eff,fraction of available deceleration actually commanded by a human in an emergency,u_eff = a_achieved / a_max,S05;S04;S06,passenger cars,human pedal input; brake assist where fitted,"real intersection crashes (EDR, S05); test-track emergency stops (S04); simulator (S06)",EDR reconstruction; pedal-force logging,median average evasive braking 0.58 g ≈ 5.7 m/s2 in crashes (S05); non-professionals used about half the pedal force of professionals (S04); drivers brake fast but not firmly enough (S06),- / m/s2,MEDIUM,MEASURED (different contexts),YES (directly contradicts u = 1 as a behavioural assumption),INTERACTION (human x vehicle),CONTEXT-DEPENDENT,Braking in the crash sample started late (0.5-1.5 s before impact) so average deceleration also reflects build-up; still well below capability.
V15,brake assist amplification,BAS,system that detects emergency braking from pedal force or speed and raises braking towards the maximum / ABS cycling,-,S01;S06,passenger cars (UN framework: required with ESC),category A (pedal force) / category B (pedal speed),type approval,regulatory definition,effect magnitude vehicle-specific; not quantified here,-,LOW,REGULATORY DEFINITION,YES (mitigates low u_eff),INTERACTION (human x vehicle),NOT IDENTIFIABLE,Exists precisely because drivers under-apply the brake; activation thresholds are manufacturer-declared.
V16,brake-by-wire / electro-hydraulic response,t2_bbw,command-to-pressure response of decoupled brake systems,t2,S01,vehicles with EHB / e-booster,brake-by-wire,-,no verified peer-reviewed numeric source retrieved,"upper bound 0.6 s to prescribed performance (regulatory, S01); commonly reported as faster than vacuum boosters (qualitative only)",s,LOW,NOT MEASURED,LOW (sub-0.2 s effects are small relative to t1),VEHICLE,BOUNDED,Marketing figures deliberately excluded.
V17,regen / friction blending transition,blend,hand-over between regenerative and friction braking during a stop or when demand exceeds regen capacity,-,S01;S23,BEVs / hybrids,category B regen (part of service brake),-,regulatory definition only,blend curves proprietary; not published,-,LOW,NOT MEASURED,POSSIBLE (transient during emergency demand),VEHICLE,NOT IDENTIFIABLE,Product-specific; must not be claimed.
V18,automated emergency braking response,a_AEB,deceleration and onset of AEB interventions,-,S24,">180 vehicles, 31 manufacturers, MY2013-2018",AEB (automation-commanded),IIHS front crash prevention tests,test-track measurement,manufacturer-dependent onset and deceleration (see literature matrix L011),m/s2,HIGH (for AEB),MEASURED,"INDIRECT (automation braking, not human fallback)",TRANSITION (automation command) executed by VEHICLE,CONTEXT-DEPENDENT,Evidence that architectures differ; not transferable to human braking.
V19,propulsion authority,a_accel_max,available acceleration (relevant to merging / lane-change gap acceptance),-,S08;S24,EVs vs ICEVs,powertrain,car-following / launch,field logging,EVs reach peak acceleration quickly and hold it (S08),m/s2,LOW-MEDIUM,MEASURED (small samples),SECONDARY (lateral escape into adjacent-lane traffic),VEHICLE,CONTEXT-DEPENDENT,Not needed for braking-only slice.
V20,automation longitudinal envelope (ACC-type),"a_auto_max, j_auto",deceleration / jerk limits of automation in normal operation,-,S14;S02,ACC-equipped vehicles,automation command,standard limits,standard (secondary quotation),ISO 15622 about 3.5 / 2.5 (SECONDARY ONLY); R157: system demand above 5.0 m/s2 is an emergency manoeuvre (§5.3.1.1),m/s2; m/s3,LOW (ISO) / HIGH (R157 threshold),REGULATORY/STANDARD,YES (bounds automation-commanded a_pre during continued support),TRANSITION (command) x VEHICLE (execution),BOUNDED,ISO values could not be verified: the public preview has no numeric limits.
V21,D003 simulated vehicle response,f_vehicle(D003),input-to-acceleration mapping of the D003 simulator vehicle,-,S17;S18;S28,simulated vehicle (fixed-base simulator),undocumented,D003 takeovers,not documented by owners,unknown,-,-,NOT DOCUMENTED,YES (needed to interpret D003 kinematics),VEHICLE,NOT IDENTIFIABLE,Owner question F1-F4; channel authorship B17.
