variable,layer,current_definition,observable_in_d003,source_supported,directly_measured,inferred,explicit_assumption,model_condition,usable_in_r3b,usable_in_future_synthesis,blocked_reason,provenance_source,uncertainty_representation,human_review_note
a_max,VEHICLE,braking capability on a reference surface,NO,YES,NO,NO,NO,NO,YES (6.43–9.1 m/s²),YES (generic interval),"D003 maximum deceleration is achieved kinematics, not capability; vehicle undocumented","registry P10; S01, S04",source-supported interval,Capability ≠ achieved deceleration.
friction μ,HAZARD,tyre-road friction; caps braking at μg,NO,PARTIAL,NO,NO,YES (0.5),YES (a ≤ μg),YES (1.0 / 0.5 scenario values),CONDITIONAL (scenario axis),simulator friction not reported,R3B §3; registry P12,scenario values,"μ = 0.5 is a scenario assumption, not a wet-road measurement."
speed,HAZARD,ego speed at TOR,YES,YES,YES,NO,NO,NO,YES (60/100/130 km/h grid),YES,,"R2A vehicle_speed_at_tor (median 25.0 m/s, 19.2–27.8, n = 492); R3B grid",observed per trial; scenario grid,D003 speed differs by cell (B11).
TTC,HAZARD,distance to collision / ego speed; T_available^brake at TOR (constant-velocity reference),YES,YES,YES,NO,NO,NO,YES (2/3/5/7/10 s grid),YES,channel invalid when stopped (B13),D003 dictionary; R1; R3B grid,observed within domain; scenario grid,TTC alone is not the hazard state.
hazard distance,HAZARD,gap from ego to hazard station,PARTIAL,PARTIAL,YES,NO,NO,NO,YES (derived v0·TTC),CONDITIONAL,hazard reference point / geometry undocumented (B10),D003 distance_to_collision; R3B,observed channel; derived in model,
lane-change onset,HUMAN x HAZARD,"validated lane-crossing time (the observable is the crossing, not the onset of steering)",PARTIAL,YES,YES,NO,NO,NO,NO,CONDITIONAL (S2 outcome timing only),"steering onset not attributable (B17); geometry and gaps unknown (B10, B5)","R1/R2A validated lane change; TOR → lane change median 6.40 s, IQR 5.45–7.70, n = 477",empirical distribution,Not effective longitudinal control; not steering onset.
manoeuvre completion,HUMAN x HAZARD,no validated definition (T_stable withdrawn),NO,NO,NO,NO,NO,NO,NO,NO,no defensible completion/stabilisation definition within the handback window,R0/R2 withdrawals,not represented,Needs a definition before any S2/S3 outcome.
Manual_Stop / handback,HUMAN x TRANSITION,first Time_Manual_Stop after Manual_Start; protocol competing event / observation boundary,YES,YES,YES,NO,NO,NO,NO,YES (observation boundary only),"12 trials with multiple values (B14); protocol-driven, not recovery completion",R2B handback: TOR → handback median 18.85 s,empirical distribution,Must not be read as recovery completion or stabilisation.
steering escape-path availability,HAZARD,whether a collision-free lateral path exists over the manoeuvre window,NO,NO,NO,NO,NO,YES (R3B assumes none),NO (braking-only condition),NO until geometry and gaps are identified,"hazard geometry (B10), laneGap semantics (B5), adjacent-lane zero semantics unresolved",HAZARD_STATE_MATRIX H10,not represented,"D003 drivers changed lanes in 499/513 trials: an escape path existed in practice, but it cannot be parameterised."
participant covariates,HUMAN,"self-reported experience, mileage, driving and ADAS frequency",YES,YES,YES,NO,NO,NO,NO,YES (associational descriptors only),no association survives Holm; secondary re-analysis; questionnaire-id join strongly supported but not explicit,R2C,Spearman ρ with bootstrap CI,
repeated exposure,HUMAN,within-participant trial position 1–9,YES,YES,YES,NO,NO,NO,NO,YES (associational descriptor),,R2B/R2C,slope with cluster-robust CI,Modest; not explained by carry-over; not causal learning.
