source_id,citation,year,primary_or_secondary,publication_type,access_level,verification_status,url,exact_claim_supported,used_quantitatively,transferability_limitation,reliability_note,document_sha256
S11,"Abbink D.A., Carlson T., Mulder M., de Winter J.C.F., et al. (2018). A topology of shared control systems - finding common ground in diversity. IEEE Transactions on Human-Machine Systems 48(5):509-525",2018,PRIMARY,PEER_REVIEWED,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://doi.org/10.1109/THMS.2018.2791570,shared-control definitions,NO,taxonomy only,Abstract-level.,
S12,"Lücken L., Mintsis E., Porfyri K.N., Alms R., Flötteröd Y.-P., Koutras D. (2019). From automated to manual - modeling control transitions with SUMO. EPiC Series in Computing 62:124-144",2019,PRIMARY,CONFERENCE,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://easychair.org/publications/open/NLJG,preparatory phase after TOR with headway enlargement and lane changes disabled; MRM on failed transition,NO,traffic-simulation modelling assumption,Abstract / summary level.,
S13,Eclipse SUMO documentation: ToC Device,2026,PRIMARY,SOFTWARE_DOC,FULL_TEXT_READ,FULL TEXT VERIFIED,https://sumo.dlr.de/docs/ToC_Device.html,"defaults responseTime 5.0 s, initialAwareness 0.5, recoveryRate 0.1 1/s, mrmDecel 1.5 m/s2",YES,"software defaults, not empirical values","Documents a model, not the world.",
S14,"ISO 15622:2018 Intelligent transport systems - Adaptive cruise control systems - Performance requirements and test procedures (public preview via iTeh, 12 pages: scope, terms, contents)",2018,SECONDARY,STANDARD_OR_REGULATION,SECONDARY_QUOTATION,SECONDARY ONLY,https://www.iso.org/standard/71515.html,ACC deceleration about 3.5 m/s2 and negative jerk about 2.5 m/s3 (secondary sources only; the public preview contains no numeric limits),YES,ACC normal operation,Full text not accessed. Numbers may not support a synthesis-ready parameter.,e18c6be1fc6fa2bcc7fc56d10470a57afc052a1718a8c2a9f9e3530d7a3674ca
S15,"ISO 23793-1:2024 Minimal risk manoeuvre (MRM) for automated driving - Part 1: Framework, straight-stop and in-lane stop (public preview via iTeh, 10 pages)",2024,PRIMARY,STANDARD_OR_REGULATION,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://www.iso.org/standard/81711.html,Clause 1 (preview): MRM classification framework; type 1 straight stop and type 2 in-lane stop; light-duty L3-5 ADS; excludes MRM initiation decision. No numeric requirement accessed (clause 6.1.8 'Deceleration control' outside preview),NO,scope-level only,Only classification claims are used.,c08707cbfb4859ebcce8706da827615611f2e24efa15f2195caf3b1727e53439
S16,"Brännström M., Coelingh E., Sjöberg J. (2010). Model-based threat assessment for avoiding arbitrary vehicle collisions. IEEE Transactions on Intelligent Transportation Systems 11(3):658-669",2010,PRIMARY,PEER_REVIEWED,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://ieeexplore.ieee.org/document/5466072/,threat assessment across steer / brake / accelerate avoidance with a bicycle model,NO,"method, not parameters",Abstract-level.,
S17,"Liang K., Calvert S.C., van Lint J.W.C. (2025). Multidimensional assessment of takeover performance in conditionally automated driving. arXiv:2507.22252",2025,PRIMARY,PREPRINT,FULL_TEXT_READ,FULL TEXT VERIFIED,https://arxiv.org/html/2507.22252,"D003 protocol: fixed-base simulator; two-lane motorway, 100 km/h limit; TOR 7 s before collision; button press, lane change, handback",YES,D003 only,"Owners' description; obstacle, vehicle and automation behaviour not described.",
S18,D003 dataset documentation: 0. README.txt and 1. data_dictionary.csv (4TU.ResearchData DOI 10.4121/E853B4E6-CBA0-4E13-AC4B-506716DDD0FB),2023,PRIMARY,DATASET,FULL_TEXT_READ,DATASET VERIFIED,https://doi.org/10.4121/E853B4E6-CBA0-4E13-AC4B-506716DDD0FB,cohort; `id` definition in each file group; TTC = distance_to_collision / car_speed_x,YES,D003 only,Archive sha256 6e85e536...,6e85e5365d0ae5e356559d20cf0b95cf81d60f9bd3ba5a52ec36021f664ca212
S19,"Papadimitriou E., Athanasiadis O., Klunder G., Calvert S., Xiao L., van Arem B. (2024). A method to assess the safety implications of authority transitions in automated driving. Traffic Safety Research 6:e000048",2024,PRIMARY,PEER_REVIEWED,REPO_EXISTING,PRIOR PHASE RECORD,https://doi.org/10.55329/fkix6369,safe time budget vs time to control (TOT + action time),NO,CACC/ACC deactivation in traffic simulation,Recorded in docs/FINAL_NOVELTY_RECHECK.md; not re-read in R3B-0.,
S20,Paquette & Porter (2014). Brake timing measurements and the effect of brake lag on deceleration rates for light passenger vehicles. Accident Reconstruction Journal 24(2):19-21,2014,PRIMARY,TRADE_JOURNAL,REPO_EXISTING,PRIOR PHASE RECORD,,"brake lag 0.05-0.17 s, hydraulic friction brakes, 4 vehicles",YES,"4 vehicles, hard braking",Phase 0.2 recorded a full-text-equivalent retrieval; not re-read in R3B-0.,
S21,Feng F. et al. (2017). Can vehicle longitudinal jerk be used to identify aggressive drivers? An examination using naturalistic driving data. Accident Analysis & Prevention,2017,PRIMARY,PEER_REVIEWED,REPO_EXISTING,PRIOR PHASE RECORD,,naturalistic non-emergency jerk 99th percentile ~2.6 m/s3,YES,non-emergency driving,Prior-phase record.,
S22,One-pedal or two-pedal: Does the regenerative braking system improve driving safety? (2024) Accident Analysis & Prevention (literature matrix L004),2024,PRIMARY,PEER_REVIEWED,REPO_EXISTING,PRIOR PHASE RECORD,https://www.sciencedirect.com/science/article/abs/pii/S0001457524003774,"one-pedal mode: longer throttle-to-brake transition, more variable brake timing",NO,"simulator, lead-vehicle braking",Prior-phase record (abstract level).,
S23,"Vigil, Kaayal & Szepelak (2023). SAE Technical Paper 2023-01-0623 (literature matrix L006)",2023,PRIMARY,TECHNICAL_REPORT,REPO_EXISTING,PRIOR PHASE RECORD,,production EVs differ in regen deceleration; not all modes stop the vehicle (qualitative),NO,six EV models,Numeric values never retrieved.,
S24,Characteristics of automatic emergency braking responses in passenger vehicles evaluated in the IIHS front crash prevention program (2023). Accident Analysis & Prevention (literature matrix L011),2023,PRIMARY,PEER_REVIEWED,REPO_EXISTING,PRIOR PHASE RECORD,,AEB onset and deceleration differ across >180 vehicles,NO,"AEB, not human braking",Prior-phase record.,
S25,A farewell to brake reaction times? Kinematics-dependent brake response in naturalistic rear-end emergencies. Accident Analysis & Prevention (literature matrix L014),2016,PRIMARY,PEER_REVIEWED,REPO_EXISTING,PRIOR PHASE RECORD,,"brake onset depends on kinematic urgency, not a fixed latency",NO,manual driving emergencies,Repository records 2017; commonly cited as 2016.,
S26,OpenLKA EV kinematic dataset README (dataset D004),,PRIMARY,DATASET,REPO_EXISTING,PRIOR PHASE RECORD,,regen-only deceleration 1-4 m/s2 (0.1-0.3 g),YES,maintainer documentation,Not verified against raw files.,
S27,First-principles kinematics / Coulomb friction limit (a <= mu g; v^2 / 2a; sqrt(2y / a_y)),,PRIMARY,FIRST_PRINCIPLES,FIRST_PRINCIPLES,NOT APPLICABLE,,friction limit; braking vs steering scaling illustration,YES,idealised point mass,,
S28,"This project: R2A channel-transition pattern by scenario cell (blocker B17), results/R2A_event_vehicle_descriptives/",2026,PRIMARY,PROJECT_RESULT,PROJECT_RESULT,NOT APPLICABLE,,control channels change at TOR in a cell-specific way,NO,D003 only,,
S29,Wikipedia: Automated lane keeping systems,2026,NAVIGATION_ONLY,ENCYCLOPEDIA,NAVIGATION_ONLY,NOT VERIFIED,https://en.wikipedia.org/wiki/Automated_lane_keeping_systems,none (navigation aid only; superseded by S02/S31),NO,-,Must not be cited as evidence.,
S30,ATIC: European Automated Lane Keeping Systems R157 certification summary,2026,NAVIGATION_ONLY,COMMERCIAL_SUMMARY,NAVIGATION_ONLY,NOT VERIFIED,https://www.atic-ts.com/certification-service/european-automated-lane-keeping-systems-r157/,none (navigation aid only; superseded by S02/S31),NO,-,Must not be cited as evidence.,
S31,"UN Regulation No 157 - Uniform provisions concerning the approval of vehicles with regards to Automated Lane Keeping Systems [2021/389], OJ L 82, 9.3.2021, p. 75 (original 00 series; authentic text ECE/TRANS/WP.29/2020/81)",2021,PRIMARY,STANDARD_OR_REGULATION,FULL_TEXT_READ,FULL TEXT VERIFIED,https://publications.europa.eu/resource/celex/42021X0389,"00 series: §5.2.3.1 60 km/h; §5.4.3, §5.4.3.2, §5.4.4.1 (identical wording to Rev.1); §5.5.1 in-lane MRM with 4,0 m/s2 aim; §6.2.5.1-6.2.5.2 deactivation; §6.3.1-6.3.4 override; Annex 4 Appendix 3 §3.3 Table 1 driver model; §3.2 of that appendix: low-speed scenario, avoidance only by braking",YES,original 00 series (60 km/h); superseded in scope by the 01 series,EU documentation copy; hash recorded.,9def8327428652fd831e4177c4058d0530fc7831d2196b6cd5f8c4ba7de53327
