param_id,symbol,definition,unit,layer,source_ids,source_year,source_population_or_vehicle_class,scenario,value_type,value_low,value_central,value_high,value_text,confidence,assumptions,status,transferable_to_current_model,currently_used_in_code,code_reference,code_value,synthesis_entry,source_quality_flag,interval_readiness
P11,a_max_wet,"maximum achievable deceleration, wet, ABS",m/s2,VEHICLE,S04,2007,ABS passenger cars (2 models),"wetted test sections, friction 0.49-0.75",RANGE,7.0,,7.9,professionals 7.9; non-professionals 7.0,MEDIUM,clean wet asphalt only,CONTEXT-DEPENDENT,YES,NO,,,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P12,mu,tyre-road friction coefficient,-,HAZARD,S04;S27,2007,test sections measured with a friction tester,dry / wet asphalt,RANGE,0.49,,0.75,"measured section values 0.49-0.75 (S04, friction tester); R3B scenario values 1.0 (R157 Annex 3 reference) and 0.5 (reduced-friction assumption)",MEDIUM,friction-tester values are not identical to peak tyre friction,EXTERNALLY PARAMETERISED,PARTIAL,PARTIAL,src/scenarios/models.py:ScenarioConfig.road_friction,default 1.0; caps braking deceleration at mu*g since R3B (non-binding for a_max <= 9.81),CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P13,j_brake,braking jerk during build-up (derived a_max / t3),m/s3,INTERACTION,S02;S14;S21,2017;2018;2023,regulatory reference; ACC standard; naturalistic driving,various,RANGE,2.5,12.65,,ACC comfort about 2.5; naturalistic 99th pct about 2.6; CCDM 12.65; human emergency jerk not measured,LOW,not independent of a_max and t3,CONTEXT-DEPENDENT,PARTIAL,YES,src/vehicle/models.py:VehicleResponseConfig.peak_ramp_jerk (derived),derived,NO,OK,BLOCKED
P14,u_eff,fraction of available deceleration commanded by a human in an emergency,-,INTERACTION,S05;S04;S06,1997;2007;2015,real intersection crashes (EDR); test-track drivers,emergency braking,BOUND,,,1.0,u_eff ≈ 0.58 g / a_max in crashes; crash median average evasive deceleration 0.58 g (≈5.7 m/s2); non-professionals about half the pedal force of professionals,MEDIUM,context differs from motorway takeovers; late onset lowers average deceleration,CONTEXT-DEPENDENT,NO,PARTIAL,src/driver/models.py:HumanDriverConfig.u_target,u_target now applied to the vehicle model (R3B); R3B slice fixes u = 1 as a model condition,NO,OK,BLOCKED
P15,"v_threshold, floor",low-speed regen roll-off parameters,"m/s, -",VEHICLE,S26,,BEVs,approach to standstill,NONE,,,,no numeric anchor found,LOW,qualitative only,NOT IDENTIFIABLE,NO,YES,src/vehicle/models.py:create_r1_profile,"5.0, 0.2 (counterfactual)",NO,ABSTRACT/SECONDARY/PRIOR-PHASE ONLY,NOT IDENTIFIABLE
P16,T_TOR,TOR lead time (TTC at TOR),s,TRANSITION,S17,2025,D003 protocol,D003 takeovers,POINT,,7.0,,D003: 7 s before collision,HIGH,protocol value; multi-TOR trials (B1),FIXED,YES,YES,src/scenarios/models.py:ScenarioConfig.tor_lead_time,scenario argument,YES,OK,READY AS FIXED / DIRECTLY SUPPORTED
P17,T_MRM_min,earliest MRM start after the start of a transition demand without driver deactivation (UN R157),s,TRANSITION,S02;S31,2021;2023,ALKS type approval,transition demand,POINT,,10,,R157 §5.4.4.1: earliest 10 s; §5.4.4.1.1: immediately on severe failure; §5.4.3.2: escalation at the latest 4 s. Not a transition-period length and not a takeover-time requirement,HIGH,applies to R157 systems only; D003 is not an R157 system,BOUNDED,PARTIAL,NO,,,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P18,a_MRM,minimum-risk-manoeuvre deceleration,m/s2,TRANSITION,S02;S31;S13,2021;2023;2026,ALKS; SUMO default,failed transition,BOUND,,1.5,4.0,R157 Rev.1 §5.5.2: aim of a deceleration demand not greater than 4.0 m/s2 (higher briefly or on severe failure); SUMO default 1.5 (software default),HIGH (R157 wording),"an aim for the demand, not a hard limit on achieved deceleration",BOUNDED,PARTIAL,NO,,,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P19,"a_auto_max, j_auto",automation longitudinal envelope (ACC-type),m/s2; m/s3,TRANSITION,S14,2018,ACC systems,normal operation,BOUND,,,3.5,"ISO 15622 deceleration about 3.5 m/s2, negative jerk about 2.5 m/s3 - SECONDARY ONLY (public preview has no numbers)",LOW,standard not read; secondary quotation,BOUNDED,PARTIAL,NO,,,NO,ABSTRACT/SECONDARY/PRIOR-PHASE ONLY,BLOCKED
P20,T_authority,time a control channel becomes human-authoritative,s,TRANSITION,S02;S31;S18,2021,-,-,NONE,,,,"R157: per-channel, threshold-based deactivation / override conditional on holding the steering control (§6.2.5.1-6.2.5.2, §6.3.1-6.3.3); D003: not identified; code assumes T_authority = 0 (TOR) and T_effective = t_reaction",LOW,TOR != authority transfer; Manual_Start != authority transfer (B7),NOT IDENTIFIABLE,NO,YES,src/handover/models.py:HandoverTimeline,explicit HandoverTimeline input since R3B; never inferred from data,NO,OK,NOT IDENTIFIABLE
P21,TOT,takeover time (first takeover action after TOR),s,HUMAN,S09,2019,129 takeover studies,varied,DISTRIBUTION,,2.72,,between-study mean 2.72 s (SD 1.45); time-budget dependent (r = 0.73),MEDIUM,definitions differ across studies; not effective braking onset,DISTRIBUTION,NO,NO,,,NO,ABSTRACT/SECONDARY/PRIOR-PHASE ONLY,BLOCKED
P22,a_y_max,maximum usable lateral acceleration,m/s2,HAZARD,S27,,-,evasive steering,BOUND,,,,a_y_max <= mu * 9.81; friction-limited; shared with braking in combined manoeuvres,HIGH (law),point-mass friction circle,EXTERNALLY PARAMETERISED,NO,NO,,,NO,OK,BLOCKED
P23,t_button,Manual_Start - TOR (D003 event timing),s,HUMAN,S18,2026,"D003, 57 participants, 492 trials",D003 takeovers,DISTRIBUTION,1.25,1.65,2.00,"median 1.65 s, IQR 1.25-2.00 (R2B); event marker, authority UNRESOLVED",HIGH (as event timing),not an authority-transfer or braking-onset time,DISTRIBUTION,NO,NO,,,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P24,f_auth,authority-transfer time as a fraction of the TOR -> effective-control interval (t_authority = f * t1),-,TRANSITION,S02;S31,2021;2023,"R157 deactivation rules (§6.2.5.1-6.2.5.2, §6.3.2)",R3B braking slice,RANGE,0.0,,1.0,assumption interval: authority anywhere between TOR (0) and effective braking (1); R157 permits deactivation by holding the steering control before braking or by a braking override,LOW,explicit scenario assumption; not identified from D003,CONTEXT-DEPENDENT,YES,YES,src/handover/models.py:HandoverTimeline,t_authority input,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P25,a_sup,P2 net automation-supported deceleration before authority transfer,m/s2,TRANSITION,S02,2023,R157 emergency-manoeuvre threshold (§5.3.1.1),R3B counterfactual branch P2,RANGE,1.0,,3.0,assumption interval for sensitivity analysis; kept below the 5.0 m/s2 emergency-manoeuvre threshold; no direct source for its magnitude,LOW,"counterfactual policy branch, not a production policy",CONTEXT-DEPENDENT,YES,YES,src/handover/models.py:PreControlProfile,a_before_authority,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P26,s_margin,standstill margin in the braking success definition,m,HAZARD,S27,,-,R3B success definition,POINT,,2.0,,frozen success definition: stop at least 2.0 m before the obstacle (assumption),LOW,"definition choice, not evidence",FIXED,YES,YES,src/metrics/oracle.py:braking_t_required,standstill_margin argument,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
